Key,File,Type,UsedInMainMenu,NoTranslate,english

zombiePrisonerVariantHelper,blocks,Block,,,"Steve the Zombie [e599e4](FHD)[-]"
decoMannequinVariantHelper,blocks,Block,,,"Decorative Mannequin Variants [e599e4](FHD)[-]"
wheelchairVariantHelper,blocks,Block,,,"Wheelchair Variants [e599e4](FHD)[-]"
candiePosterSonjaVariantHelper,blocks,Block,,,"Candie & Food Posters [e599e4](FHD)[-]"
petsPosterSonjaVariantHelper,blocks,Block,,,"Pets Poster Variants [e599e4](FHD)[-]"
targetPosterVariantHelper,blocks,Block,,,"Shooting Range Target Posters [e599e4](FHD)[-]"
screenCurtainDividerVariantHelper,blocks,Block,,,"Screen Curtain Variants [e599e4](FHD)[-]"
decoCarTireSonjaVariantHelper,blocks,Block,,,"Decorative Tires Variants [e599e4](FHD)[-]"
bunkBedSonjaVariantHelper,blocks,Block,,,"Bunk Bed Variants [e599e4](FHD)[-]"
bunkBedMadeSonja,blocks,Block,,,"Bunk Bed [e599e4](FHD)[-]"
bunkBedMattressSonja,blocks,Block,,,"Bunk Bed [e599e4](FHD)[-]"
trophySonjaVariantHelper,blocks,Block,,,"Brass Trophy Variants [e599e4](FHD)[-]"
umbrellaSonjaVariantHelper,blocks,Block,,,"Cute Umbrella Variants [e599e4](FHD)[-]"
curtainDrapesSonjaVariantHelper,blocks,Block,,,"Curtain Variants [e599e4](FHD)[-]"
decoPoolTableSonjaVariantHelper,blocks,Block,,,"Pool Table Color Variants [e599e4](FHD)[-]"
barrierPlasticSonjaVariantHelper,blocks,Block,,,"Plastic Barrier Variants [e599e4](FHD)[-]"
signBathroomSonjaVariantHelper,blocks,Block,,,"Bathroom Signs Variants [e599e4](FHD)[-]"
bulletinBoardSonjaVariantHelper,blocks,Block,,,"Bulletin Board Variants [e599e4](FHD)[-]"
tentCustomSonjaVariantHelper,blocks,Block,,,"Tent Construction Kit [e599e4](FHD)[-]"
hangingCorpseSonjaVariantHelper,blocks,Block,,,"Hanging Corpse Variants [e599e4](FHD)[-]"
fireplaceSonjaKitPart01,blocks,Block,,,"Modular Fireplace Kit Part 1 [e599e4](FHD)[-]"
fireplaceSonjaKitPart02,blocks,Block,,,"Modular Fireplace Kit Part 2 [e599e4](FHD)[-]"
fireplaceSonjaKitPartsVariant,blocks,Block,,,"Modular Fireplace Kit [e599e4](FHD)[-]"
fireplaceSonjaKitPartsVariantDesc,blocks,Block,,,"Modular Fireplace Kit, includes:\nPart 1: Burning barrel that generates no heat, place it one block below intended level for the fireplace.\nPart 2: Decorative Firewood, place it on top of Part 1.\n\nHold R to select the part you want to place."
decoVehicleVanillaSonjaVariantHelper,blocks,Block,,,"Decorative Vehicle Variants [e599e4](FHD)[-]"
decoVehicleVanillaSonjaDesc,blocks,Block,,,"Decorative Vehicle, you cannot drive it, but it looks cool and it does not explode"
controlPanelSuperVillainSonjaVariantHelper,blocks,Block,,,"Super Villain Terminal Variants [e599e4](FHD)[-]"
horseshoeSonjaVariantHelper,blocks,Block,,,"Horseshoe Variants [e599e4](FHD)[-]"
decoPlantsSonjaVariantHelper,blocks,Block,,,"Deco Vegetation Variants [e599e4](FHD)[-]"
modularRopeSonjaVariantHelper,blocks,Block,,,"Modular Ropes [e599e4](FHD)[-]"
decoWineSonjaVariantHelper,blocks,Block,,,"Decorative Bottles [e599e4](FHD)[-]"

sectionalLeatherChair,blocks,Block,,,"Sectional Leather Chair [e599e4](FHD)[-]"
