Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
weaponRackPlayer,blocks,Block,,,x,Weapon Rack,,Waffenständer,Armero,Râtelier d’armes,Rastrelliera per armi,武器ラック,무기 거치대,Stojak na broń,Suporte de armas,Оружейная стойка,Silah Rafı,武器架,武器架
weaponRackPlayerHelper,blocks,Block,,,x,Weapon Rack,,Waffenständer,Armero,Râtelier d’armes,Rastrelliera per armi,武器ラック,무기 거치대,Stojak na broń,Suporte de armas,Оружейная стойка,Silah Rafı,武器架,武器架
weaponRackGreyPlayer,blocks,Block,,,x,Weapon Rack (Grey),,Waffenständer (Grau),Armero (Gris),Râtelier d’armes (Gris),Rastrelliera per armi (Grigia),武器ラック (グレー),무기 거치대 (회색),Stojak na broń (Szary),Suporte de armas (Cinza),Оружейная стойка (Серая),Silah Rafı (Gri),武器架 (灰色),武器架 (灰色)
weaponRackRedPlayer,blocks,Block,,,x,Weapon Rack (Red),,Waffenständer (Rot),Armero (Rojo),Râtelier d’armes (Rouge),Rastrelliera per armi (Rossa),武器ラック (赤),무기 거치대 (빨간색),Stojak na broń (Czerwony),Suporte de armas (Vermelho),Оружейная стойка (Красная),Silah Rafı (Kırmızı),武器架 (红色),武器架 (紅色)
weaponRackOrangePlayer,blocks,Block,,,x,Weapon Rack (Orange),,Waffenständer (Orange),Armero (Naranja),Râtelier d’armes (Orange),Rastrelliera per armi (Arancione),武器ラック (オレンジ),무기 거치대 (주황색),Stojak na broń (Pomarańczowy),Suporte de armas (Laranja),Оружейная стойка (Оранжевая),Silah Rafı (Turuncu),武器架 (橙色),武器架 (橙色)
weaponRackYellowPlayer,blocks,Block,,,x,Weapon Rack (Yellow),,Waffenständer (Gelb),Armero (Amarillo),Râtelier d’armes (Jaune),Rastrelliera per armi (Gialla),武器ラック (黄色),무기 거치대 (노란색),Stojak na broń (Żółty),Suporte de armas (Amarelo),Оружейная стойка (Жёлтая),Silah Rafı (Sarı),武器架 (黄色),武器架 (黃色)
weaponRackYellowGreenPlayer,blocks,Block,,,x,Weapon Rack (Yellow Green),,Waffenständer (Gelbgrün),Armero (Amarillo verdoso),Râtelier d’armes (Jaune-vert),Rastrelliera per armi (Giallo-verde),武器ラック (黄緑),무기 거치대 (황록색),Stojak na broń (Żółto-zielony),Suporte de armas (Amarelo-esverdeado),Оружейная стойка (Жёлто-зелёная),Silah Rafı (Sarı-yeşil),武器架 (黄绿色),武器架 (黃綠色)
weaponRackGreenPlayer,blocks,Block,,,x,Weapon Rack (Green),,Waffenständer (Grün),Armero (Verde),Râtelier d’armes (Vert),Rastrelliera per armi (Verde),武器ラック (緑),무기 거치대 (초록색),Stojak na broń (Zielony),Suporte de armas (Verde),Оружейная стойка (Зелёная),Silah Rafı (Yeşil),武器架 (绿色),武器架 (綠色)
weaponRackGreenCyanPlayer,blocks,Block,,,x,Weapon Rack (Green Cyan),,Waffenständer (Grün-Cyan),Armero (Verde cian),Râtelier d’armes (Vert cyan),Rastrelliera per armi (Verde ciano),武器ラック (緑青),무기 거치대 (청록색),Stojak na broń (Zielono-cyjanowy),Suporte de armas (Verde-ciano),Оружейная стойка (Зелёно-голубая),Silah Rafı (Yeşil camgöbeği),武器架 (绿青色),武器架 (綠青色)
weaponRackCyanPlayer,blocks,Block,,,x,Weapon Rack (Cyan),,Waffenständer (Cyan),Armero (Cian),Râtelier d’armes (Cyan),Rastrelliera per armi (Ciano),武器ラック (シアン),무기 거치대 (청록색),Stojak na broń (Cyjanowy),Suporte de armas (Ciano),Оружейная стойка (Голубая),Silah Rafı (Camgöbeği),武器架 (青色),武器架 (青色)
