Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
weaponRackPlayer,blocks,Block,,,,Weapon Rack,,,,,,,,,,,,,
weaponRackPlayerHelper,blocks,Block,,,,Weapon Rack,,,,,,,,,,,,,
weaponRackGreyPlayer,blocks,Block,,,,Weapon Rack (Grey),,,,,,,,,,,,,
weaponRackBlackPlayer,blocks,Block,,,,Weapon Rack (Black),,,,,,,,,,,,,
weaponRackDarkBrownPlayer,blocks,Block,,,,Weapon Rack (Dark Brown),,,,,,,,,,,,,
weaponRackRedPlayer,blocks,Block,,,,Weapon Rack (Red),,,,,,,,,,,,,
weaponRackOrangePlayer,blocks,Block,,,,Weapon Rack (Orange),,,,,,,,,,,,,
weaponRackYellowPlayer,blocks,Block,,,,Weapon Rack (Yellow),,,,,,,,,,,,,
weaponRackLimePlayer,blocks,Block,,,,Weapon Rack (Lime),,,,,,,,,,,,,
weaponRackGreenPlayer,blocks,Block,,,,Weapon Rack (Green),,,,,,,,,,,,,
weaponRackTealPlayer,blocks,Block,,,,Weapon Rack (Teal),,,,,,,,,,,,,
weaponRackCyanPlayer,blocks,Block,,,,Weapon Rack (Cyan),,,,,,,,,,,,,
weaponRackLightBluePlayer,blocks,Block,,,,Weapon Rack (Light Blue),,,,,,,,,,,,,
weaponRackBluePlayer,blocks,Block,,,,Weapon Rack (Royal Blue),,,,,,,,,,,,,
weaponRackPurplePlayer,blocks,Block,,,,Weapon Rack (Purple),,,,,,,,,,,,,
weaponRackPinkPlayer,blocks,Block,,,,Weapon Rack (Pink),,,,,,,,,,,,,
weaponRackHotPinkPlayer,blocks,Block,,,,Weapon Rack (Hot Pink),,,,,,,,,,,,,
weaponRackPlayerDesc,blocks,Block,,,,Weapon racks display the weapons and tools stored inside.,,,,,,,,,,,,,
weaponRackPurpleDesc,blocks,Block,,,,Jawoodle Purple now, but who could ever forget Magenta Blue?,,,,,,,,,,,,,
blockcommand_placeWR,ui,BlockCommand,,,,Hang Item,,,,,,,,,,,,,
blockcommand_WR_PickItem,ui,BlockCommand,,,,Pick Up,,,,,,,,,,,,,
blockcommand_rotateWR_X,ui,BlockCommand,,,,X axis,,,,,,,,,,,,,
blockcommand_rotateWR_Y,ui,BlockCommand,,,,Y axis,,,,,,,,,,,,,
blockcommand_rotateWR_Z,ui,BlockCommand,,,,Z axis,,,,,,,,,,,,,
blockcommand_WR_TakeAll,ui,BlockCommand,,,,Take All,,,,,,,,,,,,,
